term,total_frequency
و,222915
در,168723
به,136384
از,96044
این,82790
که,75745
کرد#کن,75726
NUM,71312
با,71239
را,69107
شد#شو,58769
است,44170
داشت#دار,38812
برای,32186
تیم,27385
کشور,22282
هم,21954
بود#است,21710
ما,20069
گفت#گو,19359
بازی,18740
یک,18131
آن,17991
داد#ده,17808
باید,16667
تا,16120
بر,15971
مجلس,15651
وی,15492
خود,14685
اسلامی,14682
گزارش,14235
فارس,13858
گرفت#گیر,13839
مردم,13464
ایران,13325
پیام,12976
دولت,12872
خبرگزاری,12436
توانست#توان,12283
انت,12262
اما,12209
سال,11899
بازیکن,11262
#هست,10499
ملی,10466
اینکه,10065
داشت,9764
باشید#باش,9701
قرار,9584
